province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,mean_velocity,median_velocity,std_velocity
Buon Me Thuot,38,24,4,S,0.0,49,14,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Buon Me Thuot,36,22,6,SSE,0.3,60,34,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Buon Me Thuot,32,22,4,SSW,66.6,78,62,1009,2021-04-22,1.25,1.0,0.5
Buon Me Thuot,26,21,8,SSW,9.2,92,83,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Buon Me Thuot,32,21,3,SW,16.6,86,49,1008,2020-09-11,19.55,8.0,19.782848912912186
Buon Me Thuot,24,20,14,ENE,4.5,86,64,1013,2020-12-01,47.707692307692305,49.0,5.962704600585722
Buon Me Thuot,26,18,9,ENE,0.3,83,67,1013,2020-12-06,44.54545454545455,47.0,10.985113894390322
Buon Me Thuot,27,21,12,ENE,0.5,80,67,1010,2020-12-24,19.950819672131146,9.0,24.22955937014749
Hue,20,18,7,NW,16.1,96,100,1017,2021-01-04,17.157894736842106,15.0,15.22128673893248
Hue,21,15,6,ESE,0.0,85,55,1014,2021-01-15,25.104347826086958,22.0,20.714167502377503
Hue,24,20,6,SW,0.6,91,65,1013,2021-01-23,8.272727272727273,1.0,8.77600033148255
Hue,33,22,9,SSE,1.9,68,37,1003,2021-03-31,22.32967032967033,21.0,19.805192890897718
Hue,31,22,9,SE,0.0,77,5,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Hue,32,25,9,ESE,0.4,79,23,1007,2021-04-22,1.25,1.0,0.5
Hue,31,25,6,SSE,1.0,79,56,1002,2020-08-03,19.96718651044965,20.0,11.491157496711356
Hue,34,24,9,SE,2.5,75,45,1007,2020-09-11,19.55,8.0,19.782848912912186
Hue,23,19,16,ENE,105.4,94,100,1017,2020-12-01,47.707692307692305,49.0,5.962704600585722
Hue,20,18,10,W,10.1,94,97,1017,2020-12-06,44.54545454545455,47.0,10.985113894390322
Hue,21,17,9,NW,44.5,97,100,1013,2020-12-24,19.950819672131146,9.0,24.22955937014749
Thanh Hoa,21,14,7,S,0.0,59,65,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248
Thanh Hoa,23,14,7,SW,0.0,74,22,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Thanh Hoa,25,18,6,SSE,0.0,76,19,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Thanh Hoa,31,24,10,SE,0.0,79,32,1001,2021-03-31,22.32967032967033,21.0,19.805192890897718
Thanh Hoa,29,21,9,SSE,2.7,82,67,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Thanh Hoa,29,24,12,SE,0.8,85,61,1007,2021-04-22,1.25,1.0,0.5
Thanh Hoa,33,23,8,SSW,0.8,80,47,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Thanh Hoa,35,27,8,S,2.0,79,38,1005,2020-09-11,19.55,8.0,19.782848912912186
Thanh Hoa,21,14,7,SW,0.0,73,30,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322
Thanh Hoa,21,19,7,SSE,0.0,66,81,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
Thanh Hoa,22,15,8,S,0.0,65,88,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Ca Mau,31,24,8,ENE,8.3,79,55,1009,2021-01-04,17.157894736842106,15.0,15.22128673893248
Ca Mau,29,22,8,E,0.0,76,34,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
